pathway_id,course_id,weight,rationale
PW_SYS_ENG,CS101,0.5,Algorithmic foundation.
PW_SYS_ENG,CS102,0.5,Boolean algebra and discrete logic circuits.
PW_SYS_ENG,SYS201,1.0,"C systems programming, pointers, and POSIX interface."
PW_SYS_ENG,CS201,0.8,Memory-efficient data structures for constrained systems.
PW_SYS_ENG,CS301,1.0,Operating system kernel internals and interrupt servicing.
PW_SYS_ENG,SYS305,0.9,Hardware concurrency and lock-free thread synchronizations.
PW_SYS_ENG,SYS401,1.0,Real-time operating systems (RTOS) and micro-controller scheduling.
PW_SYS_ENG,SYS405,0.9,Hardware-software co-design and FPGA custom logic accelerators.
PW_SYS_ENG,SYS500,0.9,High-performance systems engineering capstone.
PW_AI_ETHICS,DATA101,0.8,Societal impacts of data collection and privacy rights.
PW_AI_ETHICS,STAT101,0.7,Statistical foundations to understand population bias.
PW_AI_ETHICS,CS101,0.6,Algorithmic understanding for technical auditing.
PW_AI_ETHICS,DATA201,0.6,Data persistence and relational compliance schema.
PW_AI_ETHICS,AI310,1.0,"Foundational AI ethics, governance models, and sociotechnical frameworks."
PW_AI_ETHICS,DATA301,0.7,Data lineage and ETL audit pipelines.
PW_AI_ETHICS,DATA410,0.9,Data compliance frameworks (GDPR) and differential privacy.
PW_AI_ETHICS,AI410,1.0,"Algorithmic auditing toolkits, disparity metrics, and model cards."
PW_AI_ETHICS,CS305,0.7,Technical awareness of machine learning algorithms under audit.
PW_AI_ETHICS,AI500,0.8,Ethical autonomous systems capstone.
PW_DATA_ENG,CS101,0.6,Core programming for ETL automation.
PW_DATA_ENG,CS102,0.5,Discrete graph structures for pipeline dependency DAGs.
PW_DATA_ENG,DATA101,0.6,Introduction to exploratory data systems and tabular storage.
PW_DATA_ENG,CS201,0.8,Tree and graph algorithms for DAG orchestrators.
PW_DATA_ENG,DATA201,1.0,"Relational databases, indexing, and SQL optimization."
PW_DATA_ENG,SYS201,0.7,Systems programming and memory management for high-throughput batching.
PW_DATA_ENG,DATA301,1.0,"Data warehousing, star schemas, and batch pipelines."
PW_DATA_ENG,CS301,0.8,"Filesystem internals, buffer caching, and disk I/O management."
PW_DATA_ENG,CLOUD301,0.8,Cloud compute and scalable storage layers (S3/blob).
PW_DATA_ENG,DATA401,1.0,Distributed streaming engines (Kafka/Flink) and real-time joins.
PW_DATA_ENG,CS401,0.9,Distributed storage systems and consensus protocols.
PW_DATA_ENG,DATA500,0.9,Enterprise data systems capstone.
PW_UX_ENG,DES101,0.9,"Visual design, layout systems, and visual balance."
PW_UX_ENG,CS101,0.6,Coding foundations for dynamic interface logic.
PW_UX_ENG,HCI201,1.0,Cognitive interaction principles and usability heuristics.
PW_UX_ENG,WEB201,1.0,Interactive DOM components and responsive styling.
PW_UX_ENG,CS201,0.7,Data structures for rendering tree traversals.
PW_UX_ENG,CS205,0.7,Component-based object-oriented frontend patterns.
PW_UX_ENG,HCI301,1.0,Universal web accessibility (WCAG 2.1 AA/AAA) and assistive tools.
PW_UX_ENG,SE405,0.8,Mobile touch ergonomics and native UX behaviors.
PW_UX_ENG,HCI401,0.9,"Spatial interfaces, AR/VR, and multimodal interaction."
PW_UX_ENG,HCI500,1.0,Universal accessibility studio capstone.
PW_FINTECH,MATH101,0.7,Calculus for continuous rate of return and derivatives.
PW_FINTECH,STAT101,0.7,Descriptive statistics and variance measures.
PW_FINTECH,CS101,0.6,Financial algorithmic logic and script execution.
PW_FINTECH,SYS101,0.5,Hardware architecture and clock cycles for latency analysis.
PW_FINTECH,MATH205,0.8,Linear algebra for covariance matrices.
PW_FINTECH,STAT201,0.9,Stochastic processes and probability densities.
PW_FINTECH,SYS201,0.8,Low-latency systems programming.
PW_FINTECH,CS201,0.7,Order book queue and heap data structures.
PW_FINTECH,FIN301,1.0,Computational finance models and portfolio optimization.
PW_FINTECH,SYS305,0.9,Concurrent multi-core trade book processing.
PW_FINTECH,FIN401,1.0,High-frequency trade execution and market microstructure.
PW_FINTECH,CS401,0.8,Distributed ledgers and decentralized consensus.
PW_BIOINFO,CS101,0.6,Python scripting for FASTA and biological formats.
PW_BIOINFO,CS102,0.5,Discrete math for genomic sequence combinatorics.
PW_BIOINFO,STAT101,0.7,Biostatistical distributions and p-value significance.
PW_BIOINFO,CS201,0.9,Graph theory and string matching algorithms for DNA sequences.
PW_BIOINFO,STAT201,0.8,Biostatistical hypothesis testing and variance analysis.
PW_BIOINFO,DATA201,0.7,Relational databases for clinical trials and patient registries.
PW_BIOINFO,BIO301,1.0,"Computational molecular biology algorithms (BLAST, Smith-Waterman)."
PW_BIOINFO,CS305,0.8,Machine learning for classification of biological phenotypes.
PW_BIOINFO,BIO401,1.0,"Genomic machine learning, molecular GNNs, and drug discovery."
PW_BIOINFO,DATA301,0.7,Big data pipeline processing for high-throughput sequencing.
