event_id,student_id,course_id,term,outcome,notes
EVT_00051,STU_0190,DES101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00052,STU_0247,AI405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00053,STU_0295,DATA201,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00054,STU_0245,AI310,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00055,STU_0279,SE401,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00056,STU_0004,EDGE201,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00057,STU_0193,SEC305,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00058,STU_0055,CS303,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00059,STU_0130,HCI301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00060,STU_0314,BIO301,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00061,STU_0212,SYS500,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00062,STU_0285,SYS500,Fall 2025,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00063,STU_0296,DATA410,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00064,STU_0061,AI310,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00065,STU_0083,DATA201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00066,STU_0174,STAT101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00067,STU_0003,SYS201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00068,STU_0308,HCI401,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00069,STU_0114,AI401,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00070,STU_0197,SYS405,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00071,STU_0306,CS201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00072,STU_0225,CS102,Spring 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00073,STU_0266,CS401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00074,STU_0307,EDGE101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00075,STU_0019,SEC405,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00076,STU_0081,SYS201,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00077,STU_0181,SYS401,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00078,STU_0266,CS102,Fall 2024,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00079,STU_0282,CS401,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00080,STU_0142,AI305,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00081,STU_0207,CS101,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00082,STU_0260,WEB201,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00083,STU_0175,SEC201,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00084,STU_0295,PROD301,Spring 2026,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00085,STU_0289,SYS500,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00086,STU_0235,CS500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00087,STU_0133,CS205,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00088,STU_0113,AI310,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00089,STU_0181,EDGE201,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00090,STU_0135,SE301,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00091,STU_0176,MATH201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00092,STU_0182,AI301,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00093,STU_0098,PROD500,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00094,STU_0124,HCI301,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00095,STU_0128,SEC401,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00096,STU_0062,MATH205,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00097,STU_0278,DES101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00098,STU_0162,PROD500,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00099,STU_0262,BIO301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00100,STU_0296,PROD201,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00101,STU_0217,SYS500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00102,STU_0202,DATA301,Spring 2026,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00103,STU_0266,CS500,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00104,STU_0007,SEC305,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00105,STU_0167,SEC405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00106,STU_0135,CLOUD301,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00107,STU_0314,DATA405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00108,STU_0218,SEC305,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00109,STU_0191,SEC405,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00110,STU_0093,PROD201,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00111,STU_0139,CLOUD301,Spring 2026,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00112,STU_0101,CS301,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00113,STU_0005,DATA301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00114,STU_0265,CS420,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00115,STU_0288,STAT101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00116,STU_0084,CS201,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00117,STU_0244,DATA201,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00118,STU_0134,SEC405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00119,STU_0132,DATA410,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00120,STU_0180,SEC301,Spring 2025,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00121,STU_0146,SEC401,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00122,STU_0250,BIO401,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00123,STU_0147,DATA500,Spring 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00124,STU_0173,SE405,Spring 2026,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00125,STU_0037,MATH205,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00126,STU_0161,CS420,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00127,STU_0310,SYS401,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00128,STU_0186,EDGE201,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00129,STU_0095,MATH101,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00130,STU_0129,MATH205,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00131,STU_0053,DATA201,Fall 2024,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00132,STU_0243,STAT101,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00133,STU_0269,MATH205,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00134,STU_0080,MATH205,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00135,STU_0127,CS401,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00136,STU_0068,EDGE202,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00137,STU_0183,CS430,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00138,STU_0277,FIN301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00139,STU_0277,DATA301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00140,STU_0289,HCI401,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00141,STU_0247,AI310,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00142,STU_0188,SE401,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00143,STU_0006,CS101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00144,STU_0241,CS102,Spring 2026,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00145,STU_0245,CS410,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00146,STU_0150,AI310,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00147,STU_0097,SE401,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00148,STU_0084,AI410,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00149,STU_0041,PROD401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00150,STU_0314,FIN301,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00151,STU_0273,FIN301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00152,STU_0036,DATA305,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00153,STU_0234,BIO401,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00154,STU_0252,SYS305,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00155,STU_0026,MATH101,Spring 2025,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00156,STU_0145,FIN301,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00157,STU_0005,AI310,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00158,STU_0253,AI301,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00159,STU_0256,AI401,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00160,STU_0017,DATA401,Fall 2024,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00161,STU_0075,CS201,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00162,STU_0037,AI500,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00163,STU_0129,AI405,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00164,STU_0128,AI410,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00165,STU_0018,SEC301,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00166,STU_0049,EDGE201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00167,STU_0160,CS430,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00168,STU_0022,EDGE201,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00169,STU_0153,SEC301,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00170,STU_0112,SEC201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00171,STU_0167,CS102,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00172,STU_0300,STAT201,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00173,STU_0005,DES101,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00174,STU_0080,AI401,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00175,STU_0256,SYS201,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00176,STU_0031,CS201,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00177,STU_0275,WEB201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00178,STU_0163,DATA410,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00179,STU_0011,AI405,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00180,STU_0129,DES101,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00181,STU_0287,CS405,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00182,STU_0096,DATA410,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00183,STU_0141,CS305,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00184,STU_0231,CS405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00185,STU_0233,CS101,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00186,STU_0010,SEC405,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00187,STU_0033,AI410,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00188,STU_0255,CS303,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00189,STU_0165,SEC201,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00190,STU_0035,DES101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00191,STU_0017,SEC301,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00192,STU_0051,SYS101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00193,STU_0270,PROD301,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00194,STU_0311,MATH201,Fall 2024,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00195,STU_0107,SEC500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00196,STU_0032,SEC405,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00197,STU_0030,FIN301,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00198,STU_0156,MATH201,Spring 2025,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00199,STU_0050,DATA201,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00200,STU_0098,SYS305,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00201,STU_0092,SE405,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00202,STU_0296,SEC401,Spring 2026,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00203,STU_0219,WEB201,Spring 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00204,STU_0282,SYS405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00205,STU_0274,FIN401,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00206,STU_0282,CS430,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00207,STU_0221,CS430,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00208,STU_0110,AI405,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00209,STU_0232,BIO401,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00210,STU_0018,CS401,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00211,STU_0155,CS101,Fall 2025,unaligned_pathway_switch,Elective did not advance stated degree pathway; prompted major change.
EVT_00212,STU_0110,CS420,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00213,STU_0142,EDGE101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00214,STU_0236,SEC401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00215,STU_0188,SE301,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00216,STU_0154,SYS201,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00217,STU_0112,MATH201,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00218,STU_0089,SEC500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00219,STU_0154,SYS101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00220,STU_0029,DATA401,Fall 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00221,STU_0223,SE405,Fall 2024,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00222,STU_0117,CS102,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00223,STU_0269,DES101,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00224,STU_0077,CS430,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00225,STU_0202,BIO401,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00226,STU_0149,SYS401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00227,STU_0043,AI500,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00228,STU_0135,MATH205,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00229,STU_0067,HCI201,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00230,STU_0250,SYS401,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00231,STU_0269,SE301,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00232,STU_0221,CS430,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00233,STU_0212,PROD401,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00234,STU_0165,DATA410,Fall 2024,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00235,STU_0087,DATA410,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00236,STU_0226,DES101,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00237,STU_0192,CS303,Fall 2024,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00238,STU_0028,SE301,Spring 2025,schedule_conflict_dropped,Overlapping timeslot with mandatory core course; dropped before census date.
EVT_00239,STU_0148,CS102,Fall 2025,prerequisite_violation_dropped,Student enrolled without foundational course; dropped in Week 2.
EVT_00240,STU_0057,CS415,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00241,STU_0170,SEC305,Spring 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00242,STU_0268,HCI301,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00243,STU_0073,MATH101,Spring 2026,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
EVT_00244,STU_0270,DES101,Fall 2025,completed_with_success,Student satisfied all prerequisites and completed curriculum milestone.
