student_id,completed_courses,stated_goal_pathway,max_courses_per_term,term_progress,language_preference,accessibility_preference
STU_0046,CS101;CS102;CS205;DATA201;DES101;STAT101;STAT201;SYS101;WEB201,PW_DATA_ENG,4,Year 3,en,standard
STU_0047,DATA101;DES101,PW_BIOINFO,2,Year 1-2,en,standard
STU_0048,DATA101;DES101;STAT101,PW_SYS_ENG,4,Year 1-2,en,standard
STU_0049,AI310;CS101;CS102;CS205;DATA101;DATA201;DES101;HCI201;MATH201;SEC201;SEC305;STAT101;SYS101,PW_PROD_MGR,3,Year 4,en,standard
STU_0050,CS101,PW_CYBERSEC,4,Year 1-2,en,standard
STU_0051,CS101;DATA101;DES101;MATH101;MATH205;SYS101;SYS201;WEB201,PW_FINTECH,4,Year 3,en,standard
STU_0052,AI310;CS101;CS205;DATA101;DATA201;DES101;HCI301;MATH101;MATH201;MATH205;SEC305;STAT101;STAT201;SYS101;SYS305,PW_UX_ENG,4,Year 4,en,standard
STU_0053,CS102;MATH101,PW_ML_ENG,4,Year 1-2,en,standard
STU_0054,CS101;DATA101;DES101;MATH101;SEC201;SYS101;SYS201,PW_AI_ETHICS,3,Year 3,en,standard
STU_0055,CS101;CS205;CS308;DATA101;DES101;MATH201;PROD201;SE301;SEC301;STAT101;SYS101;SYS201,PW_UX_ENG,4,Year 4,en,standard
STU_0056,CS101;CS201;DATA101;HCI201;MATH101;PROD201;STAT101;SYS101,PW_UX_ENG,4,Year 3,es,standard
STU_0057,CS102,PW_CYBERSEC,2,Year 1-2,en,standard
STU_0058,CS101;CS102;CS205;MATH101;MATH205;SEC201;SYS101,PW_FULLSTACK,4,Year 3,en,standard
STU_0059,DES101,PW_CLOUD_DEVOPS,3,Year 1-2,en,screen_reader
STU_0060,DES101;SYS101,PW_UX_ENG,3,Year 1-2,en,standard
STU_0061,CS101;CS201;DATA101;DATA201;DES101;PROD201;SYS101;WEB201,PW_UX_ENG,3,Year 3,es,standard
STU_0062,BIO301;CS101;CS102;CS305;DATA101;HCI201;HCI301;MATH101;MATH201;MATH205;SEC201;STAT201;SYS101;SYS201,PW_PROD_MGR,3,Year 4,en,standard
STU_0063,DATA101;MATH101;STAT101,PW_DATA_ENG,2,Year 1-2,en,standard
STU_0064,CS101;CS201;DATA101;DATA201;DES101;HCI201;MATH101;SEC201;SEC305;STAT101;STAT201;SYS101;SYS305;WEB201,PW_DATA_ENG,2,Year 4,en,standard
STU_0065,CS102;DES101;SYS101,PW_FULLSTACK,4,Year 1-2,es,standard
STU_0066,CS102;CS205;DATA101;DATA301;DES101;MATH101;PROD301;SEC201;STAT201;SYS101;SYS201;WEB201,PW_SYS_ENG,2,Year 4,en,standard
STU_0067,AI310;BIO301;CS101;CS102;DES101;HCI201;HCI301;MATH101;MATH201;MATH205;PROD201;SEC201;STAT101;SYS101,PW_PROD_MGR,4,Year 4,en,standard
STU_0068,AI305;CS101;CS102;CS201;DATA101;DATA301;DES101;FIN301;MATH101;MATH201;MATH205;PROD201;SEC201;WEB201,PW_DATA_SCI,3,Year 4,es,high_contrast
STU_0069,CS101;CS102;DATA101,PW_FULLSTACK,3,Year 1-2,en,high_contrast
STU_0070,DATA101;STAT101;SYS101,PW_PROD_MGR,4,Year 1-2,en,standard
STU_0071,CS102,PW_FINTECH,4,Year 1-2,en,standard
STU_0072,CS101;CS201;DATA101;DES101;MATH201;STAT201;SYS101;SYS201,PW_PROD_MGR,2,Year 3,en,standard
STU_0073,CS101;CS102;DES101;MATH205;PROD201;SEC201;STAT101;SYS101;WEB201,PW_UX_ENG,2,Year 3,es,standard
STU_0074,CS101;CS102;DATA201;DES101;SEC201;SYS101;SYS201,PW_FINTECH,3,Year 3,en,standard
STU_0075,CS101;CS102;CS201;CS303;DATA101;DES101;HCI201;HCI301;MATH101;STAT101;SYS101;SYS201;WEB201,PW_FULLSTACK,2,Year 4,en,standard
STU_0076,CS101;CS102;CS201;DES101;HCI201;MATH101;SEC201;STAT101;SYS101;SYS201,PW_ML_ENG,4,Year 3,en,standard
STU_0077,CS102;STAT101,PW_CLOUD_DEVOPS,4,Year 1-2,en,standard
STU_0078,MATH101,PW_AI_ETHICS,3,Year 1-2,en,high_contrast
STU_0079,AI301;AI310;CS101;CS201;CS205;DATA101;DES101;MATH101;PROD301;SEC305;STAT101;SYS101;SYS201;WEB201,PW_SYS_ENG,4,Year 4,en,standard
STU_0080,CS102;MATH101;SYS101,PW_FINTECH,2,Year 1-2,en,standard
STU_0081,CS101;CS205;MATH101;SEC201;STAT101,PW_DATA_SCI,2,Year 3,en,standard
STU_0082,CS102;CS205;DATA101;DES101;HCI201;SEC201;STAT101;SYS101;WEB201,PW_FULLSTACK,2,Year 3,en,standard
STU_0083,CS101;DES101,PW_PROD_MGR,4,Year 1-2,en,high_contrast
STU_0084,STAT101,PW_AI_ETHICS,2,Year 1-2,en,standard
STU_0085,CS102;STAT101,PW_UX_ENG,2,Year 1-2,es,standard
STU_0086,MATH101,PW_CLOUD_DEVOPS,4,Year 1-2,es,standard
STU_0087,CS102;STAT101,PW_DATA_SCI,4,Year 1-2,en,standard
STU_0088,CS101;CS102;CS205;DATA101;MATH101;STAT101;STAT201;WEB201,PW_BIOINFO,2,Year 3,en,standard
STU_0089,CS101;CS102;SYS101,PW_BIOINFO,4,Year 1-2,en,standard
STU_0090,DATA101;STAT101,PW_SYS_ENG,4,Year 1-2,es,standard
STU_0091,CS101;CS102;CS205;CS308;DATA101;DATA201;DES101;MATH101;PROD201;SEC201;STAT201;SYS101;SYS305;WEB201,PW_SYS_ENG,3,Year 4,en,standard
STU_0092,CS102;DATA101;MATH101;MATH201;SEC201;STAT101;SYS101,PW_DATA_SCI,2,Year 3,en,high_contrast
STU_0093,CS101;CS205;DATA201;DES101;STAT201;SYS101;WEB201,PW_PROD_MGR,4,Year 3,en,standard
STU_0094,MATH101;SYS101,PW_PROD_MGR,2,Year 1-2,en,standard
STU_0095,MATH101,PW_DATA_ENG,3,Year 1-2,es,standard
STU_0096,CS101;CS201;DES101;HCI201;MATH101;MATH201;STAT101;SYS101;SYS201,PW_FULLSTACK,4,Year 3,en,standard
STU_0097,SYS101,PW_FINTECH,3,Year 1-2,es,standard
STU_0098,CS102;DATA101;DES101,PW_AI_ETHICS,3,Year 1-2,es,standard
STU_0099,CS101;CS102;DES101;HCI201;SE301;SEC201;SEC305;STAT101;STAT201;SYS101;WEB201,PW_CYBERSEC,4,Year 4,es,standard
STU_0100,CS101;CS102;CS201;DES101;MATH101;PROD201;STAT201;WEB201,PW_CYBERSEC,3,Year 3,en,standard
STU_0101,CS101,PW_AI_ETHICS,4,Year 1-2,en,standard
STU_0102,DES101;MATH101;STAT101,PW_DATA_SCI,3,Year 1-2,en,screen_reader
STU_0103,STAT101,PW_PROD_MGR,4,Year 1-2,en,standard
STU_0104,CS101;MATH101,PW_CLOUD_DEVOPS,4,Year 1-2,en,standard
STU_0105,CS205;DATA101;STAT101;STAT201;SYS101,PW_SYS_ENG,3,Year 3,en,standard
STU_0106,CS101;DES101;SYS101,PW_CYBERSEC,3,Year 1-2,en,standard
STU_0107,CS102,PW_FULLSTACK,2,Year 1-2,es,standard
STU_0108,DATA101;STAT101;SYS101,PW_UX_ENG,3,Year 1-2,en,standard
STU_0109,AI301;CS101;CS102;CS201;DATA101;DATA201;DES101;FIN301;HCI201;MATH101;PROD201;PROD301;STAT101;STAT201;SYS101;SYS201,PW_ML_ENG,2,Year 4,en,standard
STU_0110,CLOUD301;CS101;CS102;CS205;CS303;CS308;DATA101;DATA201;DES101;MATH205;PROD201;PROD301;SEC201;SYS101;SYS201,PW_PROD_MGR,4,Year 4,es,high_contrast
STU_0111,CS102;DATA201;MATH101;STAT101;STAT201;SYS101;SYS201;WEB201,PW_PROD_MGR,4,Year 3,en,standard
STU_0112,SYS101,PW_FINTECH,3,Year 1-2,en,standard
STU_0113,BIO301;CLOUD301;CS102;CS205;DES101;HCI201;MATH101;MATH201;STAT101;STAT201;SYS101;WEB201,PW_FINTECH,3,Year 4,en,standard
STU_0114,CS101;DATA101;DATA201;DES101;MATH101;MATH201;MATH205;STAT101;SYS101;SYS201,PW_PROD_MGR,3,Year 3,es,standard
STU_0115,SYS101,PW_DATA_ENG,4,Year 1-2,en,screen_reader
STU_0116,CS102;DATA101;SYS101,PW_CLOUD_DEVOPS,2,Year 1-2,es,standard
STU_0117,AI301;CS102;DATA101;DES101;HCI301;MATH101;MATH205;PROD201;SEC201;STAT101;STAT201;SYS101;SYS305,PW_PROD_MGR,4,Year 4,en,standard
STU_0118,STAT101;SYS101,PW_SYS_ENG,2,Year 1-2,en,standard
STU_0119,DATA101;MATH101;SYS101,PW_DATA_SCI,4,Year 1-2,en,standard
STU_0120,CS101;CS102;DATA101;DATA201;MATH205;SEC201;SYS101,PW_ML_ENG,3,Year 3,es,standard
STU_0121,CS101;CS102;CS301;DES101;MATH101;MATH201;PROD201;PROD301;SEC201;STAT101;SYS101;SYS201,PW_DATA_SCI,2,Year 4,en,standard
STU_0122,CS101;CS102;CS201;DES101;MATH101;MATH205;STAT101;WEB201,PW_FINTECH,4,Year 3,en,standard
STU_0123,CS101;CS102;CS201;MATH201;STAT101;SYS101;SYS201;WEB201,PW_UX_ENG,3,Year 3,es,standard
STU_0124,CS101;SYS101,PW_DATA_ENG,4,Year 1-2,en,high_contrast
STU_0125,AI305;AI310;CS101;CS201;CS205;DATA201;DATA305;DES101;HCI201;MATH101;MATH205;STAT101;STAT201;SYS101,PW_FINTECH,3,Year 4,en,standard
STU_0126,CS101;DATA101;STAT101,PW_FULLSTACK,2,Year 1-2,es,high_contrast
STU_0127,CLOUD301;CS101;CS102;CS205;DATA201;DES101;HCI201;MATH101;MATH201;PROD301;SE301;STAT101;SYS101;SYS201;WEB201,PW_SYS_ENG,3,Year 4,en,standard
STU_0128,AI301;BIO301;CS101;CS102;CS205;DATA101;DATA201;FIN301;HCI201;MATH101;PROD201;PROD301;STAT101;SYS101,PW_BIOINFO,3,Year 4,es,standard
STU_0129,CS101;DATA101;DATA201;HCI201;MATH101;MATH201;SYS101;WEB201,PW_ML_ENG,2,Year 3,en,standard
STU_0130,STAT101,PW_FINTECH,3,Year 1-2,en,high_contrast
STU_0131,MATH101;STAT101,PW_AI_ETHICS,2,Year 1-2,en,standard
STU_0132,CS101;CS102;DES101;SEC201;STAT201,PW_SYS_ENG,4,Year 3,es,standard
STU_0133,DATA101;DES101;MATH101,PW_CYBERSEC,2,Year 1-2,es,screen_reader
STU_0134,CS101;DATA101;MATH101,PW_FINTECH,3,Year 1-2,en,standard
STU_0135,DES101,PW_BIOINFO,4,Year 1-2,en,standard
STU_0136,STAT101,PW_CLOUD_DEVOPS,2,Year 1-2,en,screen_reader
STU_0137,CS101;CS102;CS205;STAT101;SYS101;SYS201;WEB201,PW_BIOINFO,4,Year 3,en,standard
STU_0138,CS101;DATA101;DATA201;DES101;SEC201;STAT201,PW_CLOUD_DEVOPS,4,Year 3,en,standard
STU_0139,CS102;HCI201;MATH101;MATH201;SYS101,PW_PROD_MGR,4,Year 3,es,standard
STU_0140,MATH101,PW_CYBERSEC,4,Year 1-2,en,standard
STU_0141,CS102;DATA201;DES101;HCI201;MATH201;PROD201;SYS101,PW_UX_ENG,2,Year 3,en,screen_reader
STU_0142,MATH101;STAT101;SYS101,PW_FINTECH,2,Year 1-2,en,standard
STU_0143,CS101;DATA101;DES101;HCI201;MATH101;SEC201;STAT101;SYS101;SYS201;WEB201,PW_DATA_SCI,4,Year 3,es,standard
STU_0144,CS102;DES101;MATH101,PW_BIOINFO,3,Year 1-2,en,standard
STU_0145,CS101;DATA101;MATH101;MATH201;MATH205;STAT101,PW_DATA_SCI,2,Year 3,en,standard
STU_0146,STAT101,PW_PROD_MGR,4,Year 1-2,en,standard
STU_0147,AI301;CS101;CS102;CS201;DATA101;DATA201;DES101;FIN301;HCI201;HCI301;MATH101;MATH205;SEC201;STAT101,PW_FULLSTACK,4,Year 4,es,standard
STU_0148,DATA101;STAT101,PW_PROD_MGR,2,Year 1-2,en,standard
STU_0149,CS205;DATA101;PROD201;STAT101;SYS101;SYS201,PW_CLOUD_DEVOPS,2,Year 3,en,standard
STU_0150,AI301;CS101;CS201;DATA101;DATA201;DATA301;DES101;FIN301;MATH201;PROD301;SEC201;STAT101;SYS101,PW_DATA_ENG,2,Year 4,en,standard
STU_0151,AI301;CS101;CS102;CS201;CS301;DATA101;DATA201;DES101;HCI201;MATH101;PROD201;SE301;SEC201;STAT101;STAT201;SYS101,PW_UX_ENG,3,Year 4,en,standard
STU_0152,CS101;DATA101;HCI201;MATH201;STAT201;SYS101;WEB201,PW_FINTECH,2,Year 3,es,high_contrast
STU_0153,CS102;DATA101,PW_SYS_ENG,4,Year 1-2,es,standard
STU_0154,CS101;CS102;DATA201;DES101;MATH101;SEC201;STAT201;SYS101;WEB201,PW_PROD_MGR,2,Year 3,en,standard
STU_0155,CS101;DATA101;DES101;MATH101;MATH205;PROD201;STAT101;STAT201;SYS101;SYS201,PW_CYBERSEC,3,Year 3,en,standard
STU_0156,CS205;DES101;MATH101;PROD201;STAT101;STAT201;SYS101,PW_SYS_ENG,3,Year 3,en,standard
STU_0157,CS101;DES101,PW_PROD_MGR,3,Year 1-2,en,standard
STU_0158,AI305;CS101;CS102;CS201;CS303;DES101;HCI201;HCI301;MATH101;MATH205;PROD201;SE301;STAT101;STAT201;SYS101;WEB201,PW_FINTECH,2,Year 4,es,standard
STU_0159,CS101;CS102;CS201;CS205;DES101;MATH101;SYS101;SYS201,PW_FINTECH,4,Year 3,es,standard
STU_0160,DATA101,PW_CLOUD_DEVOPS,2,Year 1-2,en,standard
STU_0161,CS101;CS102;DATA301;DES101;FIN301;HCI201;MATH101;PROD201;SEC201;STAT101;STAT201;SYS101,PW_AI_ETHICS,3,Year 4,es,standard
STU_0162,CS101;CS102;MATH101;MATH201;MATH205;PROD201;SYS101;WEB201,PW_SYS_ENG,4,Year 3,en,high_contrast
STU_0163,AI310;CS101;CS102;CS201;DATA101;DATA201;DES101;HCI201;MATH101;PROD201;SEC301;SYS101;SYS201,PW_ML_ENG,4,Year 4,es,standard
STU_0164,CS101;DATA101;DES101;HCI201;MATH101;MATH201;MATH205;SYS101,PW_AI_ETHICS,2,Year 3,en,standard
STU_0165,CS102;CS205;DES101;HCI201;PROD201;SEC201;STAT101;SYS101,PW_DATA_ENG,4,Year 3,en,high_contrast
STU_0166,CS101;CS102;CS205;CS303;DATA101;DATA301;HCI201;MATH101;MATH205;PROD201;PROD301;SEC201;SEC305;STAT101;SYS101;SYS201,PW_SYS_ENG,3,Year 4,en,standard
STU_0167,DATA101,PW_FULLSTACK,2,Year 1-2,en,high_contrast
STU_0168,SYS101,PW_ML_ENG,2,Year 1-2,en,standard
STU_0169,STAT101,PW_FINTECH,4,Year 1-2,en,standard
STU_0170,CS101;CS102;CS205;DATA201;DES101;HCI201;SYS101,PW_CLOUD_DEVOPS,4,Year 3,en,standard
STU_0171,DATA101;DATA301;DES101;MATH101;MATH201;MATH205;PROD201;SEC201;SEC305;STAT101;SYS101;SYS305;WEB201,PW_BIOINFO,2,Year 4,es,standard
STU_0172,CLOUD301;CS101;CS102;CS201;DES101;HCI201;MATH205;PROD201;PROD301;STAT101;SYS101,PW_CYBERSEC,4,Year 4,es,high_contrast
STU_0173,DES101;HCI201;MATH101;PROD201;STAT101;SYS101,PW_FINTECH,3,Year 3,es,standard
STU_0174,CS101;CS102;HCI201;MATH101;STAT201;SYS101;WEB201,PW_AI_ETHICS,2,Year 3,en,standard
STU_0175,CS102;DATA101;MATH101;MATH201;SEC201;STAT101;STAT201;WEB201,PW_CYBERSEC,2,Year 3,en,standard
STU_0176,BIO301;CS101;CS102;CS201;CS205;CS303;DATA101;DATA201;DATA301;DES101;HCI201;SEC201;STAT101;SYS101;SYS305,PW_SYS_ENG,4,Year 4,en,screen_reader
STU_0177,DES101;STAT101;SYS101,PW_CYBERSEC,3,Year 1-2,es,standard
STU_0178,AI301;AI305;BIO301;CS101;CS102;DATA101;DES101;HCI201;MATH101;MATH205;PROD201;SYS305;WEB201,PW_AI_ETHICS,4,Year 4,en,standard
STU_0179,CS101;CS102;CS201;CS301;DATA101;DATA301;DES101;MATH101;MATH201;MATH205;PROD201;SE301;SEC305;STAT101;SYS101,PW_CLOUD_DEVOPS,2,Year 4,en,standard
STU_0180,CS102;DATA101;DATA201;HCI201;MATH101;MATH201;STAT101;STAT201;SYS101,PW_BIOINFO,4,Year 3,en,standard
STU_0181,CS101;CS201;DES101;MATH201;MATH205;STAT101;WEB201,PW_DATA_SCI,4,Year 3,es,standard
STU_0182,DATA101;DES101;SYS101,PW_FINTECH,3,Year 1-2,es,standard
STU_0183,MATH101;STAT101;SYS101,PW_ML_ENG,4,Year 1-2,en,standard
STU_0184,AI310;CLOUD301;CS102;CS205;DATA201;DES101;MATH101;PROD301;SEC301;STAT101;SYS101;SYS201;WEB201,PW_CYBERSEC,3,Year 4,en,standard
STU_0185,AI305;CS101;CS201;CS205;DATA101;DES101;HCI201;HCI301;MATH201;SE301;STAT101;SYS101,PW_UX_ENG,2,Year 4,en,standard
STU_0186,AI301;CS101;CS102;CS201;DATA101;DATA305;DES101;HCI201;MATH101;MATH201;MATH205;STAT101;WEB201,PW_UX_ENG,2,Year 4,en,standard
STU_0187,CS101;CS102;CS201;CS205;DES101;MATH101;MATH205;WEB201,PW_DATA_SCI,3,Year 3,en,standard
STU_0188,AI301;CS102;CS205;CS303;CS305;DATA101;DES101;HCI201;MATH101;MATH201;SEC301;STAT101;SYS101;WEB201,PW_FULLSTACK,2,Year 4,en,standard
STU_0189,CS101;DATA101;DATA201;MATH101;STAT101;SYS101;SYS201,PW_DATA_SCI,2,Year 3,es,standard
STU_0190,CS101;CS205;MATH101;PROD201;SYS101,PW_UX_ENG,3,Year 3,en,screen_reader
STU_0191,CS102;MATH201;PROD201;STAT101;STAT201;SYS101;WEB201,PW_CLOUD_DEVOPS,3,Year 3,en,high_contrast
STU_0192,CS101;DATA101;HCI201;MATH101;MATH205;SEC201;SYS101,PW_AI_ETHICS,2,Year 3,es,screen_reader
STU_0193,CS102;DATA101;DES101;HCI201;MATH101;MATH201;PROD201;STAT101,PW_FULLSTACK,3,Year 3,en,standard
STU_0194,MATH101;STAT101,PW_BIOINFO,4,Year 1-2,en,standard
STU_0195,DATA101;STAT101,PW_PROD_MGR,2,Year 1-2,en,standard
STU_0196,CS101;DATA101;DES101,PW_BIOINFO,2,Year 1-2,en,standard
STU_0197,CLOUD301;CS101;CS102;CS205;DATA101;DES101;FIN301;HCI201;MATH101;MATH205;SE301;SEC201;STAT101;SYS101;SYS201;WEB201,PW_DATA_ENG,2,Year 4,en,standard
STU_0198,CS101;CS102;CS201;DES101;MATH101;PROD201;SYS101,PW_UX_ENG,4,Year 3,en,standard
STU_0199,AI310;CS101;CS102;CS301;DATA101;DES101;MATH101;MATH201;SEC201;STAT201;SYS101;WEB201,PW_AI_ETHICS,2,Year 4,en,high_contrast
STU_0200,AI301;CS102;CS205;CS303;CS305;DATA101;DES101;HCI201;MATH101;MATH201;SEC201;STAT201;SYS101,PW_BIOINFO,2,Year 4,es,high_contrast
STU_0201,CLOUD301;CS102;DATA101;DATA201;DES101;MATH101;MATH201;MATH205;PROD201;SE301;STAT201;SYS101;WEB201,PW_ML_ENG,4,Year 4,en,standard
STU_0202,CS101;CS102;DATA201;DES101;MATH101;MATH201;SYS101,PW_PROD_MGR,2,Year 3,en,standard
STU_0203,CS205;DATA101;DATA201;DES101;MATH101;PROD201;STAT101;SYS101,PW_AI_ETHICS,4,Year 3,es,standard
STU_0204,CLOUD301;CS101;CS102;DATA201;DATA301;DES101;HCI201;MATH101;MATH201;MATH205;STAT101;SYS101;SYS201;WEB201,PW_SYS_ENG,2,Year 4,en,standard
STU_0205,CS101;CS102;CS201;DATA101;DATA201;DATA301;MATH101;MATH205;PROD201;SEC201;STAT101;STAT201;SYS101;SYS305,PW_SYS_ENG,4,Year 4,en,standard
STU_0206,CS101;CS102;CS201;DES101;MATH205;SYS101;SYS201,PW_FULLSTACK,2,Year 3,en,standard
STU_0207,CS101;CS201;DATA201;DES101;STAT101;STAT201;SYS101;SYS201,PW_BIOINFO,3,Year 3,en,high_contrast
STU_0208,CS101;CS102;CS205;DATA101;DATA201;DATA305;DES101;MATH101;MATH205;PROD201;SE301;WEB201,PW_UX_ENG,2,Year 4,en,standard
STU_0209,CS102;DATA101;HCI201;MATH101;PROD201;STAT101;SYS101;SYS201,PW_DATA_ENG,4,Year 3,en,standard
STU_0210,CS102;DES101;HCI201;MATH201;MATH205;STAT101,PW_BIOINFO,3,Year 3,en,standard
STU_0211,CS102;CS205;DATA101;DES101;HCI201;MATH101;SYS101;SYS201;WEB201,PW_BIOINFO,3,Year 3,en,standard
STU_0212,AI301;AI305;BIO301;CS101;DES101;HCI201;MATH101;MATH201;MATH205;PROD201;SEC201;STAT101;SYS101;WEB201,PW_DATA_ENG,4,Year 4,es,standard
STU_0213,CS101;CS201;DATA101;DATA301;DES101;HCI201;SEC201;STAT101;SYS101;SYS305;WEB201,PW_FINTECH,3,Year 4,es,standard
STU_0214,CS101;CS102;DES101;MATH101;SYS101;SYS201;WEB201,PW_BIOINFO,4,Year 3,en,high_contrast
STU_0215,DATA101,PW_DATA_SCI,2,Year 1-2,en,standard
STU_0216,CS101;STAT101,PW_SYS_ENG,4,Year 1-2,es,screen_reader
STU_0217,CS101;DES101;MATH101;MATH201;STAT101;SYS101;WEB201,PW_FINTECH,4,Year 3,es,high_contrast
STU_0218,CS102;DATA101;DES101;MATH205;PROD201;SEC201;STAT101,PW_DATA_SCI,2,Year 3,es,standard
STU_0219,CS102;CS205;DES101;HCI201;MATH101;MATH205;STAT101,PW_DATA_ENG,4,Year 3,en,standard
STU_0220,CS101;CS102;CS201;DES101;MATH101;STAT101;SYS101;SYS201;WEB201,PW_CYBERSEC,3,Year 3,en,standard
