course_id,term,day_time_slot,room,capacity
AI301,Fall,Mon/Wed 08:30-10:00,Lovelace-202,120
AI301,Spring,Tue/Thu 10:45-12:15,Lovelace-202,120
AI305,Fall,Tue/Thu 13:30-15:00,Virtual-01,120
AI305,Spring,Tue/Thu 10:45-12:15,Hopper-102,120
AI310,Fall,Mon/Wed 10:15-11:45,Lab-101,45
AI310,Spring,Mon/Wed 10:15-11:45,Hopper-102,120
CLOUD301,Fall,Mon/Wed 10:15-11:45,Lovelace-202,120
CLOUD301,Spring,Mon/Wed 08:30-10:00,Hopper-102,120
SE301,Fall,Fri 13:00-16:00,Lovelace-202,120
SE301,Spring,Tue/Thu 15:15-16:45,Hall-A,120
PROD301,Fall,Tue/Thu 09:00-10:30,Lab-204,45
PROD301,Spring,Mon/Wed 10:15-11:45,Lab-101,45
HCI301,Fall,Tue/Thu 09:00-10:30,Hall-B,120
HCI301,Spring,Tue/Thu 13:30-15:00,Hall-A,120
FIN301,Fall,Tue/Thu 15:15-16:45,Hopper-102,120
FIN301,Spring,Tue/Thu 13:30-15:00,Lab-101,45
BIO301,Fall,Tue/Thu 15:15-16:45,Lab-204,45
BIO301,Spring,Mon/Wed 10:15-11:45,Lab-101,45
CS401,Fall,Mon/Wed 13:00-14:30,Lovelace-202,120
CS401,Spring,Mon/Wed 08:30-10:00,Virtual-01,120
CS405,Fall,Tue/Thu 13:30-15:00,Hopper-102,120
CS405,Spring,Fri 13:00-16:00,Lovelace-202,120
CS410,Fall,Mon/Wed 13:00-14:30,Hopper-102,120
CS410,Spring,Mon/Wed 10:15-11:45,Turing-301,120
CS415,Fall,Fri 13:00-16:00,Lab-204,45
CS415,Spring,Mon/Wed 13:00-14:30,Lab-101,45
CS420,Fall,Tue/Thu 15:15-16:45,Hall-A,120
CS430,Spring,Mon/Wed 08:30-10:00,Hopper-102,120
DATA401,Fall,Tue/Thu 10:45-12:15,Lab-204,45
DATA401,Spring,Mon/Wed 14:45-16:15,Turing-301,120
DATA405,Spring,Mon/Wed 10:15-11:45,Lab-204,45
DATA410,Fall,Mon/Wed 10:15-11:45,Lab-204,45
SEC401,Fall,Tue/Thu 13:30-15:00,Hopper-102,120
SEC405,Spring,Tue/Thu 15:15-16:45,Hopper-102,120
AI401,Fall,Fri 09:00-12:00,Lab-101,45
AI401,Spring,Fri 09:00-12:00,Virtual-01,120
AI405,Spring,Mon/Wed 14:45-16:15,Lovelace-202,120
AI410,Fall,Tue/Thu 13:30-15:00,Lab-101,45
AI410,Spring,Mon/Wed 10:15-11:45,Virtual-01,120
SYS401,Fall,Tue/Thu 09:00-10:30,Hopper-102,120
SYS405,Spring,Fri 13:00-16:00,Hall-B,120
SE401,Fall,Fri 13:00-16:00,Hall-B,120
SE401,Spring,Tue/Thu 15:15-16:45,Hopper-102,120
SE405,Fall,Mon/Wed 14:45-16:15,Turing-301,120
SE405,Spring,Fri 13:00-16:00,Hall-B,120
PROD401,Spring,Tue/Thu 15:15-16:45,Lovelace-202,120
HCI401,Spring,Mon/Wed 08:30-10:00,Hall-A,120
FIN401,Fall,Mon/Wed 13:00-14:30,Hopper-102,120
BIO401,Spring,Mon/Wed 10:15-11:45,Turing-301,120
CS500,Fall,Fri 13:00-16:00,Lab-204,45
CS500,Spring,Tue/Thu 09:00-10:30,Lab-204,45
DATA500,Fall,Tue/Thu 10:45-12:15,Virtual-01,120
DATA500,Spring,Tue/Thu 10:45-12:15,Lab-204,45
AI500,Fall,Tue/Thu 10:45-12:15,Virtual-01,120
AI500,Spring,Mon/Wed 13:00-14:30,Virtual-01,120
SYS500,Fall,Mon/Wed 13:00-14:30,Hall-B,120
SYS500,Spring,Mon/Wed 10:15-11:45,Hall-A,120
SEC500,Fall,Mon/Wed 10:15-11:45,Virtual-01,120
SEC500,Spring,Tue/Thu 10:45-12:15,Lab-204,45
PROD500,Fall,Mon/Wed 08:30-10:00,Virtual-01,120
PROD500,Spring,Tue/Thu 09:00-10:30,Turing-301,120
HCI500,Fall,Tue/Thu 10:45-12:15,Hall-B,120
HCI500,Spring,Mon/Wed 10:15-11:45,Virtual-01,120
EDGE101,Fall,Mon/Wed 10:15-11:45,Lab-204,45
EDGE201,Spring,Tue/Thu 13:30-15:00,Lab-101,45
EDGE202,Spring,Tue/Thu 10:45-12:15,Hall-B,120
